/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.3709999999999999,1.695927399081887,-0.3699999999999999,-0.05648851501960368,-0.3709999999999999,1.256674114545365,-0.3699999999999999,0.2496957019821886
-0.3699999999999999,1.695870910566868,-0.3689999999999999,-0.05685672906219347,-0.3699999999999999,1.256923810247347,-0.3689999999999999,0.2496899401569495
-0.3689999999999999,1.695814053837805,-0.3679999999999999,-0.05722842559596759,-0.3689999999999999,1.257173500187504,-0.3679999999999999,0.249684032011199
-0.3679999999999999,1.69575682541221,-0.3669999999999999,-0.05760364910378785,-0.3679999999999999,1.257423184219516,-0.3669999999999999,0.2496779741250064
-0.3669999999999999,1.695699221763106,-0.3659999999999999,-0.05798244453347751,-0.3669999999999999,1.257672862193641,-0.3659999999999999,0.249671762986958
-0.3659999999999999,1.695641239318572,-0.3649999999999999,-0.05836486019705762,-0.3659999999999999,1.257922533956628,-0.3649999999999999,0.2496653950179171
-0.3649999999999999,1.695582874458375,-0.3639999999999999,-0.05875094236507111,-0.3649999999999999,1.258172199351645,-0.3639999999999999,0.2496588665483743
-0.3639999999999999,1.69552412351601,-0.3629999999999999,-0.05914074090695992,-0.3639999999999999,1.258421858218194,-0.3629999999999999,0.249652173830661
-0.3629999999999999,1.695464982775103,-0.3619999999999999,-0.05953430400595922,-0.3629999999999999,1.258671510392025,-0.3619999999999999,0.2496453130278462
-0.3619999999999999,1.695405448471097,-0.3609999999999999,-0.05993168221407602,-0.3619999999999999,1.258921155705052,-0.3609999999999999,0.249638280217068
-0.3609999999999999,1.695345516788883,-0.3599999999999999,-0.06033292690643671,-0.3609999999999999,1.259170793985269,-0.3599999999999999,0.2496310713877568
-0.3599999999999999,1.695285183861977,-0.3589999999999999,-0.06073808955098231,-0.3599999999999999,1.259420425056657,-0.3589999999999999,0.249623682441191
-0.3589999999999999,1.695224445772426,-0.3579999999999999,-0.06114722344086049,-0.3589999999999999,1.259670048739098,-0.3579999999999999,0.2496161091753988
-0.3579999999999999,1.695163298548985,-0.3569999999999999,-0.06156038263638303,-0.3579999999999999,1.259919664848274,-0.3569999999999999,0.2496083473060293
-0.3569999999999999,1.695101738166348,-0.3559999999999999,-0.06197762175252913,-0.3569999999999999,1.26016927319558,-0.3559999999999999,0.2496003924421506
-0.3559999999999999,1.695039760544596,-0.3549999999999999,-0.06239899784477027,-0.3559999999999999,1.260418873588022,-0.3549999999999999,0.24959224010046
-0.3549999999999999,1.694977361546751,-0.3539999999999999,-0.0628245646174807,-0.3549999999999999,1.260668465828122,-0.3539999999999999,0.2495838856919617
-0.3539999999999999,1.694914536982134,-0.3529999999999999,-0.06325438343290907,-0.3539999999999999,1.260918049713814,-0.3529999999999999,0.2495753245232988
-0.3529999999999999,1.694851282598701,-0.3519999999999999,-0.06368851253268909,-0.3529999999999999,1.261167625038338,-0.3519999999999999,0.249566551803637
-0.3519999999999999,1.694787594086168,-0.3509999999999999,-0.06412701110636293,-0.3519999999999999,1.261417191590141,-0.3509999999999999,0.2495575626229039
-0.3509999999999999,1.694723467075062,-0.3499999999999999,-0.06456994082060236,-0.3509999999999999,1.261666749152764,-0.3499999999999999,0.2495483519668882
-0.3499999999999999,1.694658897134241,-0.3489999999999999,-0.06501736466990587,-0.3499999999999999,1.261916297504731,-0.3489999999999999,0.249538914713465
-0.3489999999999999,1.694593879769571,-0.3479999999999999,-0.06546934568918411,-0.3489999999999999,1.262165836419445,-0.3479999999999999,0.2495292456121676
-0.3479999999999999,1.694528410423882,-0.3469999999999999,-0.0659259496642583,-0.3479999999999999,1.262415365665057,-0.3469999999999999,0.2495193393101667
-0.3469999999999999,1.694462484474218,-0.3459999999999999,-0.06638724087792974,-0.3469999999999999,1.262664885004367,-0.3459999999999999,0.2495091903225164
-0.3459999999999999,1.69439609723334,-0.3449999999999999,-0.06685328873401447,-0.3459999999999999,1.262914394194689,-0.3449999999999999,0.2494987930492518
-0.3449999999999999,1.694329243944606,-0.3439999999999999,-0.06732416015009507,-0.3449999999999999,1.263163892987739,-0.3439999999999999,0.2494881417651749
-0.3439999999999999,1.694261919784456,-0.3429999999999999,-0.06779992678684893,-0.3439999999999999,1.263413381129504,-0.3429999999999999,0.249477230608308
-0.3429999999999999,1.694194119857669,-0.3419999999999999,-0.06828065905017938,-0.3429999999999999,1.263662858360112,-0.3419999999999999,0.2494660535983237
-0.3419999999999999,1.694125839198619,-0.3409999999999999,-0.06876642969655394,-0.3419999999999999,1.26391232441371,-0.3409999999999999,0.2494546046147847
-0.3409999999999999,1.694057072768922,-0.3399999999999999,-0.06925731326212764,-0.3409999999999999,1.264161779018325,-0.3399999999999999,0.2494428774040267
-0.3399999999999999,1.69398781545566,-0.3389999999999999,-0.06975338563086625,-0.3399999999999999,1.264411221895729,-0.3389999999999999,0.2494308655678343
-0.3389999999999999,1.693918062070029,-0.3379999999999999,-0.07025472420885132,-0.3389999999999999,1.264660652761297,-0.3379999999999999,0.2494185625745435
-0.3379999999999999,1.69384780734582,-0.3369999999999999,-0.07076140654738154,-0.3379999999999999,1.264910071323872,-0.3369999999999999,0.249405961742388
-0.3369999999999999,1.693777045939273,-0.3359999999999999,-0.07127351459002,-0.3369999999999999,1.265159477285614,-0.3359999999999999,0.249393056242164
-0.3359999999999999,1.693705772424683,-0.3349999999999999,-0.07179113113919826,-0.3359999999999999,1.265408870341856,-0.3349999999999999,0.2493798390963418
-0.3349999999999999,1.693633981293544,-0.3339999999999999,-0.07231433586407647,-0.3349999999999999,1.265658250180953,-0.3339999999999999,0.2493663031688518
-0.3339999999999999,1.69356166695768,-0.3329999999999999,-0.07284321876688253,-0.3339999999999999,1.265907616484121,-0.3329999999999999,0.249352441171524
-0.3329999999999999,1.693488823738913,-0.3319999999999999,-0.07337786620342783,-0.3329999999999999,1.266156968925293,-0.3319999999999999,0.249338245654984
-0.3319999999999999,1.693415445872709,-0.3309999999999998,-0.07391836475512108,-0.3319999999999999,1.266406307170948,-0.3309999999999998,0.2493237089999931
-0.3309999999999998,1.693341527507954,-0.3299999999999998,-0.07446480797090864,-0.3309999999999998,1.266655630879948,-0.3299999999999998,0.2493088234265526
-0.3299999999999998,1.693267062699983,-0.3289999999999998,-0.07501728814451873,-0.3299999999999998,1.266904939703374,-0.3289999999999998,0.2492935809819128
-0.3289999999999998,1.693192045411839,-0.3279999999999998,-0.07557589899542798,-0.3289999999999998,1.267154233284356,-0.3279999999999998,0.2492779735407955
-0.3279999999999998,1.693116469512843,-0.3269999999999998,-0.0761407393878865,-0.3279999999999998,1.267403511257897,-0.3269999999999998,0.2492619927949578
